Child,Parent
interior,interior
looks,looks
pretty,looks
exterior,aesthetics
style,looks
ugly,aesthetics
beautiful,looks
paint,aesthetics
interiors,interior
black,aesthetics
dust,aesthetics
radio,audio
audio,audio
brakes,brakes
braking,brakes
hand,brakes
skidpad,brakes
brake,brakes
60-0,brakes
experience,comfort
street,comfort
size,size
rear,rear
front,front
design,design
smaller,smaller
body,body
convertible,convertible
doors,doors
handles,handles
build,build
trunk,trunk
room,room
hood,hood
designs,designs
middle,middle
door,door
chassis,chassis
dynamics,dynamics
aero,aero
sunroof,sunroof
repair,repair
broken,broken
bumper,bumper
exhaust,exhaust
noise,noise
gas,lights
fuel,indicator
mileage,weight
mpg,fuel
tank,fuel
lights,design
indicator,design
luxury,luxury
luxurious,luxury
performance,performance
engine,performance
power,power
speed,performance
0-60,performance
mph,performance
fast,performance
faster,performance
v6,performance
acceleration,performance
engines,performance
motor,performance
loaded,performance
seconds,performance
powerful,power
6-speed,performance
engineering,performance
turbo,performance
horsepower,power
slow,performance
secs,performance
perform,performance
throttle,performance
ability,performance
perf,performance
v8,performance
0-100,performance
underpowered,performance
boost,performance
v-6,performance
speeds,performance
400hp,performance
300hp,performance
270hp,performance
cylinder,performance
cruise,performance
price,price
money,price
cost,price
expensive,overpriced
cheap,price
offer,price
spend,price
economy,fuel
prices,price
costs,price
40k,price
35k,price
afford,price
30k,price
priced,price
cheaper,price
10k,price
overpriced,overpriced
5k,price
50k,price
spending,price
dollars,price
7k,price
4k,price
45k,price
spent,price
15k,price
33k,price
20k,price
bucks,price
2k,price
budget,price
worth,price
reliability,reliability
quality,reliability
safety,reliability
reliable,reliability
safe,reliability
solid,reliability
comfortable,reliability
accident,reliability
safer,reliability
weather,reliability
risk,reliability
strong,reliability
insurance,reliability
impact,reliability
seat,comfort
leather,comfort
sound,sound
sport,sport
sports,sport
race,race
racing,racing
sporty,sport
handling,handling
torque,power
steering,steering
steer,steer
turn,turn
handle,handle
control,control
rpm,rpm
navigation,navigation
oversteer,oversteer
spin,spin
understeer,understeer
suspension,suspension
tires,tires
traction,tires
tire,tires
manual,transmission
automatic,transmission
transmission,transmission
gear,transmission
smooth,transmission
clutch,transmission
balance,transmission
transmissions,transmission
5-speed,transmission
displacement,transmission
gears,transmission
awd,transmission
rwd,transmission
fwd,transmission
warranty,Maintanence
weight,design
repair,Maintanence
Service,Maintanence
